Id	SRR12237911	SRR12237910	SRR12237909	SRR12237908	SRR12237915	SRR12237914	SRR12237913	SRR12237912
ENSG00000011304.15	15396	14591	15954	15309	15408	14025	23968	24418
ENSG00000011332.18	469	384	132	119	817	756	1614	1625
ENSG00000011347.8	3133	3109	177	173	6281	6362	10226	10621
ENSG00000011376.8	7419	6595	4670	4438	1304	1367	2254	2357
ENSG00000011405.12	7287.58	7105.62	3460.12	3520.43	5172.44	5008.04	4440.83	4655.97
ENSG00000011422.10	31	34	194	245	1	3	220	194
ENSG00000011426.9	12332	11538	14756	11969	12873	12608	10810	11607
ENSG00000011451.16	2700.19	2746.69	2999.52	2991.62	3325.06	2996.93	3963.88	3920.51
ENSG00000011454.15	5820.04	5302.05	3744.72	3705.4	6077.24	6170.2	6141.38	6578.81
ENSG00000011465.15	6	5	56	37	11643	11122	3	7
ENSG00000011478.10	671.568	670.671	885.076	975.102	346.598	331.774	234.485	279.314
ENSG00000011485.13	3088.72	2738.01	3922.84	3696.19	5272.8	5113.48	3880.99	4082.18
ENSG00000011523.12	2320.87	2193.76	1520.02	1578.24	3109.36	3154.15	1739.48	1644.12
ENSG00000011566.13	1634	1505	2146	2054	3932	3876	2848	3200
ENSG00000011590.12	31	42	15	25	7	8	63	40
ENSG00000011600.10	0	0	0	0	0	0	0	0
ENSG00000011638.9	1504.5	1261.45	308.188	408.856	257.669	252.803	1233.85	1202.72
ENSG00000011677.11	232	202.996	393	332	608	685	1459	1645
ENSG00000012048.18	6162.09	5735.98	10478.4	9217.06	9239.06	9502.83	4995.85	5459.4
ENSG00000012061.14	2324.27	2215.36	2934.47	3085.25	3317.54	3160.65	1575.89	1434.29
ENSG00000012124.13	3.07111	0	0	1.05598	10.3155	7.87378	0	2.08235
ENSG00000012171.16	282	245	168	202	140	120	219	166
ENSG00000012174.10	1827.95	1658.99	1063.35	997.485	909.793	931.551	582.16	607.436
ENSG00000012211.11	763.063	793.541	829.272	865.683	568.497	553.144	1121.03	1180.78
ENSG00000012223.11	0	0	0	1	1	1	792	590
ENSG00000012232.7	1896.78	1565.61	2493.31	2505.03	1454.39	1495.46	1351.83	1605.99
ENSG00000012504.12	1	1	51	45	1	3	1	0
ENSG00000012660.12	10225	9668	7791	7353	6535	6594	11161	12544
ENSG00000012779.9	20	16	8	4	65	55	2497	2453
ENSG00000012817.14	2.00673	1.03055	3748.74	4096.67	1869.26	1850.01	3.06872	1.00128
ENSG00000012822.14	916	780	1629	1859	1627	1668	3666	3568
ENSG00000012963.12	6008.57	5657	7585	7099.93	11823	11826.9	10595	12244.9
ENSG00000012983.10	2005.01	1807.97	2274.89	2371.13	2725.42	2687.86	3555.59	3839.82
ENSG00000013016.13	1401	1265.38	117	121.027	210	245.169	329	411
ENSG00000013275.6	8047	7375	6002	5829	7815	7333	5940	6183
ENSG00000013288.7	6403.48	5721.86	1571.54	1549.91	3257.09	3229.83	2181.28	2030.87
ENSG00000013293.5	44.3927	48.6114	54.3484	49.033	27.503	45.8882	4017.89	6174.24
ENSG00000013297.9	5.00919	14.0147	362.38	482.069	32.1583	32.478	368.849	446.323
ENSG00000013306.14	15140.2	15730	21547.7	20960.9	9585.47	9436.25	11217.5	11348.8
ENSG00000013364.17	233.883	209.315	3933.74	4082.37	589.578	531.633	1266.38	1433.51
ENSG00000013374.14	4833	4572	3953	4225	4281	4435	2361	2424
ENSG00000013375.14	5823.63	5418.54	3999.39	4223.56	1591.12	1543.58	3225.9	3219.17
ENSG00000013392.7	2508.81	2147.23	732.06	806.024	231.832	235.694	807.105	737.626
ENSG00000013441.14	2112	1815	3352	3623	4197	4616	5919	6353
ENSG00000013503.8	2801.94	2453.93	3478.98	3357	1182	1090.94	1125.95	1141.95
ENSG00000013523.8	2108.43	2090.64	1840.92	1900.36	1949.58	2009.42	3994.55	3860.14
ENSG00000013561.16	4726.42	4118.22	3252.49	3130.89	3351.99	3478.95	3173.16	3345.96
ENSG00000013563.12	620.168	612.37	1940.28	1927.27	1206.47	1117.27	1576.57	1854.01
